id,siret,date_publi,date_disso,nom_asso,nom_asso_abrege,objet_social1,objet_social2,adresse,codepostal,commune,siteweb,autorisation_web,etat
W373000174,,1973-02-23,,FOYER DE CLUNY DE LA REGION DE LIGUEIL,FOYER DE CLUNY DE LA REGION DE LIGU...,020000,018050,15   AV Léon Bion  ,37240,Ligueil,,1,A
W373000175,,1979-11-22,,ASSOCIATION L'ECHIQUIER DESCARTOIS,ASSOCIATION L'ECHIQUIER DESCARTOIS,007005,000000,MAIRIE       ,37160,Descartes,,1,A
W373000176,,1995-02-15,,COMITE D'ANIMATION DES FETES D'ABILLY,COMITE D'ANIMATION DES FETES D'AB...,009030,000000,MAIRIE       ,37160,Abilly,,1,A
W373000177,,1993-03-31,,AMICALE DES PERSONNELS DU COLLEGE GEORGES BESSE DE LOCHES,AMICALE DES PERSONNELS DU COLLEGE G...,015075,000000,COLLEGE GEORGES BESSE     17 RUE DES PREBENDES  ,37600,Loches,,1,A
W373000178,,,,JUMPING 37,JUMPING 37,011050,007000,     HARAS DU CHESNEAU - 2 CHEMIN DES SABL,37310,Azay-sur-Indre,,0,A
W373000179,,1995-09-04,,ASSOCIATION DES PARENTS D'ELEVES DE LA CELLE-SAINT-AVANT,ASSOCIATION DES PARENTS D'ELEVES D...,024035,002010,4   RUE le Clos de l'Image  ,37160,La Celle-Saint-Avant,,1,A
W373000180,,1959-04-06,,ENSEMBLE VOCAL LES BALADINS,ENSEMBLE VOCAL LES BALADINS,006030,006030,MAIRIE       ,37600,Loches,,1,A
W373000181,,1952-03-11,,ASSOCIATION DES PARENTS D'ELEVES DU COLLEGE DE LIGUEIL,APE DU COLLEGE DE LIGUEIL,015005,024035,Mairie       ,37240,Ligueil,,1,A
W373000182,,1993-01-06,,ASSOCIATION DE LA SAINT-BLAISE,ASSOCIATION DE LA SAINT-BLAISE,023000,023030,MAIRIE       ,37160,Abilly,,1,A
W373000183,,2003-05-17,,ASSOCIATION NATIONALE POUR LE DEVELOPPEMENT DU VETEMENT ADAPTE (VETI-FUTE) (A.N.D.V.A.),ASSOCIATION NATIONALE POUR LE DEVEL...,018050,000000,   10 RUE DU 11 NOVEMBRE  ,37600,Loches,,1,A
W373000184,,2006-12-09,,PAYS SAGE,PAYS SAGE,024045,000000,   17 RUE DU LAVOIR  ,37310,Chédigny,,0,A
W373000185,,,,GLORIA,GLORIA,006030,000000,2   RUE DE MONTSOUDUN  ,37310,Tours,,0,A
W373000186,,2001-11-17,,ASSOCIATION BESLAND,ASSOCIATION BESLAND,011000,007000,Mairie 5   PL de la République  ,37240,Ligueil,,1,A
W373000187,,1952-01-22,,ASSOCIATION DES PARENTS D'ELEVES DE L'ENSEIGNEMENT LIBRE DE L'ECOLE LOUIS LEFE SAINTE MARIE,APE ECOLE LOUIS LEFE STE MARIE,015075,015005,28   RUE Rene Boylesve  ,37160,Descartes,,1,A
W373000188,,1985-09-25,,ASSOCIATION EVIDANSE,ASSOCIATION EVIDANSE,006040,000000,   LA CHAUME  ,37240,Cussay,,1,A
W373000189,,1980-09-10,2013-02-28,LE P'TIT PET SHOW,LE P'TIT PET SHOW,011035,000000,mairie       ,37350,Le Petit-Pressigny,,1,D
W373000190,,1993-05-19,,ASSOCIATION DES PARENTS D'ELEVES DE LA COTE DES GRANGES,ASSOCIATION DES PARENTS D'ELEVES D...,015005,000000,   ECOLE PRIMAIRE DE LA COTE DES GRANGES  ,37160,Descartes,,0,A
W373000191,,2005-09-17,,LOCHES AQUATIQUE CLUB NATATION,LOCHES AQUATIQUE CLUB NATATION,011000,011095,Centre Aquatique NATUREO 1   ALL des Lys  ,37600,Loches,,1,A
